2025/05/01 14:09:08.072, 312.77 W
2025/05/01 14:09:13.081, 322.07 W
2025/05/01 14:09:18.081, 328.37 W
2025/05/01 14:09:23.082, 171.12 W
2025/05/01 14:09:28.082, 331.20 W
2025/05/01 14:09:33.088, 328.32 W
2025/05/01 14:09:38.089, 133.36 W
2025/05/01 14:09:43.089, 326.86 W
2025/05/01 14:09:48.089, 330.05 W
2025/05/01 14:09:53.090, 219.87 W
2025/05/01 14:09:58.090, 329.39 W
2025/05/01 14:10:03.096, 332.10 W
2025/05/01 14:10:08.097, 297.54 W
2025/05/01 14:10:13.097, 330.33 W
2025/05/01 14:10:18.098, 326.47 W
2025/05/01 14:10:23.099, 332.14 W
2025/05/01 14:10:28.099, 326.11 W
2025/05/01 14:10:33.100, 329.07 W
2025/05/01 14:10:38.100, 327.02 W
2025/05/01 14:10:43.101, 255.10 W
2025/05/01 14:10:48.106, 325.22 W
2025/05/01 14:10:53.107, 327.85 W
2025/05/01 14:10:58.107, 262.68 W
2025/05/01 14:11:03.110, 329.02 W
2025/05/01 14:11:08.111, 291.03 W
2025/05/01 14:11:13.111, 247.68 W
2025/05/01 14:11:18.114, 322.58 W
2025/05/01 14:11:23.115, 306.07 W
2025/05/01 14:11:28.115, 298.53 W
2025/05/01 14:11:33.118, 325.33 W
2025/05/01 14:11:38.119, 330.39 W
2025/05/01 14:11:43.119, 220.24 W
2025/05/01 14:11:48.120, 314.78 W
2025/05/01 14:11:53.126, 315.99 W
2025/05/01 14:11:58.126, 241.36 W
2025/05/01 14:12:03.127, 326.83 W
2025/05/01 14:12:08.127, 322.83 W
2025/05/01 14:12:13.127, 225.10 W
2025/05/01 14:12:18.128, 312.07 W
2025/05/01 14:12:23.128, 317.53 W
2025/05/01 14:12:28.129, 192.46 W
2025/05/01 14:12:33.129, 317.57 W
2025/05/01 14:12:38.130, 315.80 W
2025/05/01 14:12:43.130, 224.76 W
2025/05/01 14:12:48.130, 315.64 W
2025/05/01 14:12:53.131, 311.94 W
2025/05/01 14:12:58.131, 220.57 W
2025/05/01 14:13:03.132, 321.22 W
2025/05/01 14:13:08.138, 312.52 W
2025/05/01 14:13:13.138, 241.44 W
2025/05/01 14:13:18.139, 320.41 W
2025/05/01 14:13:23.140, 315.55 W
2025/05/01 14:13:28.140, 310.81 W
2025/05/01 14:13:33.141, 325.08 W
2025/05/01 14:13:38.141, 314.80 W
2025/05/01 14:13:43.141, 309.45 W
2025/05/01 14:13:48.142, 313.21 W
2025/05/01 14:13:53.142, 313.42 W
2025/05/01 14:13:58.143, 314.31 W
2025/05/01 14:14:03.143, 310.57 W
2025/05/01 14:14:08.143, 304.41 W
2025/05/01 14:14:13.144, 315.27 W
2025/05/01 14:14:18.144, 309.81 W
2025/05/01 14:14:23.145, 308.61 W
2025/05/01 14:14:28.145, 254.26 W
2025/05/01 14:14:33.146, 316.80 W
2025/05/01 14:14:38.146, 309.37 W
2025/05/01 14:14:43.146, 290.47 W
2025/05/01 14:14:48.147, 312.30 W
2025/05/01 14:14:53.147, 317.10 W
2025/05/01 14:14:58.148, 279.58 W
2025/05/01 14:15:03.148, 317.14 W
2025/05/01 14:15:08.149, 319.68 W
2025/05/01 14:15:13.149, 308.50 W
2025/05/01 14:15:18.150, 308.69 W
2025/05/01 14:15:23.150, 309.65 W
2025/05/01 14:15:28.151, 313.87 W
2025/05/01 14:15:33.151, 318.09 W
2025/05/01 14:15:38.151, 318.52 W
2025/05/01 14:15:43.152, 305.33 W
2025/05/01 14:15:48.152, 319.37 W
2025/05/01 14:15:53.158, 320.44 W
2025/05/01 14:15:58.159, 316.11 W
2025/05/01 14:16:03.159, 328.07 W
2025/05/01 14:16:08.165, 320.98 W
2025/05/01 14:16:13.166, 308.60 W
2025/05/01 14:16:18.166, 317.29 W
2025/05/01 14:16:23.166, 305.53 W
2025/05/01 14:16:28.167, 313.24 W
2025/05/01 14:16:33.167, 278.56 W
2025/05/01 14:16:38.171, 313.20 W
2025/05/01 14:16:43.171, 313.54 W
2025/05/01 14:16:48.171, 250.16 W
2025/05/01 14:16:53.175, 306.71 W
2025/05/01 14:16:58.175, 311.50 W
2025/05/01 14:17:03.176, 285.07 W
2025/05/01 14:17:08.178, 313.79 W
2025/05/01 14:17:13.179, 307.02 W
2025/05/01 14:17:18.179, 225.61 W
2025/05/01 14:17:23.180, 314.58 W
2025/05/01 14:17:28.180, 307.74 W
2025/05/01 14:17:33.180, 225.01 W
2025/05/01 14:17:38.182, 313.16 W
2025/05/01 14:17:43.183, 313.04 W
2025/05/01 14:17:48.183, 254.15 W
2025/05/01 14:17:53.183, 318.48 W
2025/05/01 14:17:58.184, 318.76 W
2025/05/01 14:18:03.184, 224.67 W
2025/05/01 14:18:08.185, 316.71 W
2025/05/01 14:18:13.185, 321.01 W
2025/05/01 14:18:18.185, 217.35 W
2025/05/01 14:18:23.186, 312.32 W
2025/05/01 14:18:28.186, 314.15 W
2025/05/01 14:18:33.187, 284.86 W
2025/05/01 14:18:38.187, 315.96 W
2025/05/01 14:18:43.187, 313.06 W
2025/05/01 14:18:48.188, 313.49 W
2025/05/01 14:18:53.188, 306.31 W
2025/05/01 14:18:58.189, 303.08 W
2025/05/01 14:19:03.189, 296.84 W
2025/05/01 14:19:08.190, 316.45 W
2025/05/01 14:19:13.196, 311.04 W
2025/05/01 14:19:18.196, 319.42 W
2025/05/01 14:19:23.196, 319.57 W
2025/05/01 14:19:28.197, 317.20 W
2025/05/01 14:19:33.197, 315.02 W
2025/05/01 14:19:38.198, 318.10 W
2025/05/01 14:19:43.198, 321.71 W
2025/05/01 14:19:48.199, 319.17 W
2025/05/01 14:19:53.199, 313.08 W
2025/05/01 14:19:58.205, 315.80 W
2025/05/01 14:20:03.206, 319.24 W
2025/05/01 14:20:08.206, 315.10 W
2025/05/01 14:20:13.207, 309.44 W
2025/05/01 14:20:18.207, 316.02 W
2025/05/01 14:20:23.207, 302.27 W
2025/05/01 14:20:28.208, 308.95 W
2025/05/01 14:20:33.208, 311.77 W
2025/05/01 14:20:38.214, 307.70 W
2025/05/01 14:20:43.220, 315.54 W
2025/05/01 14:20:48.221, 317.52 W
2025/05/01 14:20:53.221, 318.49 W
2025/05/01 14:20:58.222, 319.77 W
2025/05/01 14:21:03.222, 311.45 W
2025/05/01 14:21:08.223, 324.63 W
2025/05/01 14:21:13.223, 308.60 W
2025/05/01 14:21:18.224, 319.04 W
2025/05/01 14:21:23.224, 317.42 W
2025/05/01 14:21:28.230, 315.02 W
2025/05/01 14:21:33.231, 313.53 W
2025/05/01 14:21:38.231, 318.74 W
2025/05/01 14:21:43.232, 325.22 W
2025/05/01 14:21:48.232, 314.57 W
2025/05/01 14:21:53.232, 319.21 W
2025/05/01 14:21:58.239, 315.99 W
2025/05/01 14:22:03.239, 320.23 W
2025/05/01 14:22:08.239, 316.99 W
2025/05/01 14:22:13.245, 316.37 W
2025/05/01 14:22:18.246, 306.82 W
2025/05/01 14:22:23.246, 314.38 W
2025/05/01 14:22:28.252, 308.58 W
2025/05/01 14:22:33.253, 309.67 W
2025/05/01 14:22:38.253, 320.62 W
2025/05/01 14:22:43.259, 317.53 W
2025/05/01 14:22:48.260, 314.89 W
2025/05/01 14:22:53.260, 319.88 W
2025/05/01 14:22:58.261, 310.64 W
2025/05/01 14:23:03.261, 233.93 W
2025/05/01 14:23:08.261, 318.55 W
2025/05/01 14:23:13.268, 305.61 W
2025/05/01 14:23:18.268, 185.40 W
2025/05/01 14:23:23.268, 308.23 W
2025/05/01 14:23:28.269, 310.94 W
2025/05/01 14:23:33.269, 306.99 W
2025/05/01 14:23:38.270, 317.56 W
2025/05/01 14:23:43.270, 318.01 W
2025/05/01 14:23:48.270, 318.11 W
2025/05/01 14:23:53.277, 316.48 W
2025/05/01 14:23:58.277, 313.72 W
2025/05/01 14:24:03.277, 317.74 W
2025/05/01 14:24:08.278, 308.19 W
2025/05/01 14:24:13.278, 310.64 W
2025/05/01 14:24:18.279, 311.20 W
2025/05/01 14:24:23.279, 310.53 W
2025/05/01 14:24:28.280, 313.34 W
2025/05/01 14:24:33.280, 318.00 W
2025/05/01 14:24:38.280, 320.40 W
2025/05/01 14:24:43.281, 318.33 W
2025/05/01 14:24:48.281, 309.94 W
2025/05/01 14:24:53.287, 313.88 W
2025/05/01 14:24:58.288, 319.42 W
2025/05/01 14:25:03.288, 315.77 W
2025/05/01 14:25:08.289, 310.67 W
2025/05/01 14:25:13.289, 316.13 W
2025/05/01 14:25:18.290, 318.59 W
2025/05/01 14:25:23.290, 315.35 W
2025/05/01 14:25:28.290, 314.46 W
2025/05/01 14:25:33.291, 310.69 W
2025/05/01 14:25:38.291, 310.29 W
2025/05/01 14:25:43.292, 274.51 W
2025/05/01 14:25:48.292, 318.94 W
2025/05/01 14:25:53.292, 313.63 W
2025/05/01 14:25:58.293, 262.36 W
2025/05/01 14:26:03.293, 317.73 W
2025/05/01 14:26:08.294, 312.76 W
2025/05/01 14:26:13.294, 222.82 W
2025/05/01 14:26:18.295, 314.32 W
2025/05/01 14:26:23.295, 310.93 W
2025/05/01 14:26:28.295, 222.82 W
2025/05/01 14:26:33.296, 317.30 W
2025/05/01 14:26:38.296, 314.04 W
2025/05/01 14:26:43.297, 178.93 W
2025/05/01 14:26:48.297, 311.04 W
2025/05/01 14:26:53.297, 313.71 W
