2025/05/01 15:55:48.815, 304.03 W
2025/05/01 15:55:53.821, 253.36 W
2025/05/01 15:55:58.821, 322.43 W
2025/05/01 15:56:03.827, 200.33 W
2025/05/01 15:56:08.828, 251.45 W
2025/05/01 15:56:13.828, 320.75 W
2025/05/01 15:56:18.829, 316.86 W
2025/05/01 15:56:23.829, 256.07 W
2025/05/01 15:56:28.834, 319.25 W
2025/05/01 15:56:33.835, 313.15 W
2025/05/01 15:56:38.835, 317.29 W
2025/05/01 15:56:43.841, 311.73 W
2025/05/01 15:56:48.842, 321.33 W
2025/05/01 15:56:53.842, 318.16 W
2025/05/01 15:56:58.842, 320.24 W
2025/05/01 15:57:03.843, 203.01 W
2025/05/01 15:57:08.843, 323.94 W
2025/05/01 15:57:13.844, 321.16 W
2025/05/01 15:57:18.844, 210.58 W
2025/05/01 15:57:23.844, 325.84 W
2025/05/01 15:57:28.845, 320.94 W
2025/05/01 15:57:33.845, 284.62 W
2025/05/01 15:57:38.846, 322.02 W
2025/05/01 15:57:43.846, 322.57 W
2025/05/01 15:57:48.846, 320.18 W
2025/05/01 15:57:53.847, 310.67 W
2025/05/01 15:57:58.847, 320.70 W
2025/05/01 15:58:03.848, 320.68 W
2025/05/01 15:58:08.848, 317.72 W
2025/05/01 15:58:13.849, 319.56 W
2025/05/01 15:58:18.849, 318.56 W
2025/05/01 15:58:23.849, 311.93 W
2025/05/01 15:58:28.850, 257.33 W
2025/05/01 15:58:33.850, 314.33 W
2025/05/01 15:58:38.851, 318.65 W
2025/05/01 15:58:43.851, 91.87 W
2025/05/01 15:58:48.852, 318.34 W
2025/05/01 15:58:53.858, 316.77 W
2025/05/01 15:58:58.858, 322.31 W
2025/05/01 15:59:03.859, 320.25 W
2025/05/01 15:59:08.859, 317.21 W
2025/05/01 15:59:13.859, 316.78 W
2025/05/01 15:59:18.860, 311.96 W
2025/05/01 15:59:23.860, 135.52 W
2025/05/01 15:59:28.861, 321.29 W
2025/05/01 15:59:33.861, 318.86 W
2025/05/01 15:59:38.862, 277.21 W
2025/05/01 15:59:43.866, 316.82 W
2025/05/01 15:59:48.867, 305.59 W
2025/05/01 15:59:53.867, 277.47 W
